YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2018,201800393984,178.40208692,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800396165,146.08973367,3,2,1,2,2,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800396168,20.623989912,2,2,1,1,1,4,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800396250,30.490190374,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2018,201800397628,34.194551581,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1
2018,201800397696,76.42125785,2,1,1,2,2,5,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800397716,178.40208686,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2018,201800397941,159.3496284,2,1,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1
2018,201800397959,15.700392812,4,2,1,2,2,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800397966,132.18500855,3,2,3,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800397969,238.97825394,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800397975,27.534924156,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800397982,15.009055523,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800397984,27.534924156,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2018,201800397994,170.65463049,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800397995,238.97825394,3,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800397998,28.803219805,4,2,4,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1
2018,201800398028,238.97825394,3,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800398037,170.65463049,3,2,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398060,27.534924156,2,2,1,1,1,5,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398076,132.18500855,3,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398083,238.97825394,3,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398088,68.386567715,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800398092,170.65463049,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398110,27.534924156,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398122,170.65463049,3,2,3,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
