CASENUM,SURVIVED,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,PSUSTRAT,WEIGHT
2.02E+11,1.00E+00,4,56,189,189,1,9,2,2,0,0,5,0,0,1,2018,3,17,30,12,2,0,6,8,2,2,0,1,3,10,0,10,0,0,0,0,0,3,17,30,12,6,0,2,3,10,0,0,2,20,187.1933079
2.02E+11,0.00E+00,2,14,2755,14,2,7,2,2,0,0,3,0,1,1,2018,3,12,43,12,2,1,11,8,2,2,0,1,1,10,0,10,0,0,0,0,0,3,12,43,12,11,0,2,1,10,1,1,2,9,377.8654309
2.02E+11,1.00E+00,4,64,306,64,1,9,2,2,0,0,2,0,0,1,2018,2,16,48,12,2,0,1,0,1,1,0,1,5,2,0,2,0,1,0,0,0,2,16,48,12,1,0,1,5,2,0,0,2,23,198.2720412
2.02E+11,1.00E+00,4,56,214,214,1,9,2,2,0,0,10,0,0,1,2018,6,19,35,12,2,0,1,0,1,1,0,1,3,1,0,1,0,1,0,0,0,6,19,35,12,1,0,1,3,1,0,0,2,20,187.1933079
2.02E+11,1.00E+00,2,14,2755,14,2,10,2,2,0,0,4,0,0,1,2018,2,14,6,12,1,0,6,8,2,98,0,1,1,1,0,1,0,0,0,0,0,2,14,6,12,6,0,2,1,1,0,0,1,9,586.0724766
2.02E+11,0.00E+00,4,64,305,64,1,10,2,2,0,0,4,0,0,1,2018,4,16,20,12,2,0,1,0,1,1,0,1,1,10,0,10,0,1,0,0,0,4,16,20,12,1,0,1,1,10,0,0,2,23,279.0247095
2.02E+11,0.00E+00,4,49,262,49,1,8,2,2,0,0,2,0,1,1,2018,3,21,50,12,2,1,1,0,1,1,0,1,3,1,0,1,0,0,0,0,0,3,21,50,12,1,0,1,3,1,1,1,2,21,195.2114628
2.02E+11,0.00E+00,4,56,214,214,1,8,2,2,0,0,2,0,1,1,2018,2,6,15,12,2,1,1,8,3,2,0,1,4,10,2,2,0,0,0,0,0,2,6,15,12,1,0,3,4,2,1,1,2,20,178.4020869
2.02E+11,0.00E+00,4,68,299,68,1,7,2,2,0,0,4,0,0,1,2018,5,9,33,12,2,0,2,0,1,1,0,1,1,1,0,1,0,0,0,0,0,5,9,33,12,2,0,1,1,1,0,0,2,23,146.0897337
2.02E+11,1.00E+00,4,68,295,68,1,4,2,2,0,0,4,0,1,1,2018,2,21,25,12,2,3,6,8,2,3,0,1,2,1,0,1,0,0,0,0,0,2,21,25,12,6,0,2,2,1,3,1,2,23,20.62398991
2.02E+11,1.00E+00,4,56,214,214,1,5,2,2,0,0,2,0,2,1,2018,2,6,55,12,1,3,1,0,1,1,0,1,4,1,0,1,0,0,0,0,0,2,6,55,12,1,0,1,4,1,3,2,1,20,30.49019037
2.02E+11,1.00E+00,4,56,208,208,1,2,1,1,0,1,1,1,1,1,2018,6,18,20,9,2,2,0,0,1,1,0,1,3,1,0,1,0,0,0,0,0,6,18,20,9,0,0,1,3,1,2,1,2,20,34.19455158
2.02E+11,1.00E+00,4,56,214,214,1,6,3,3,0,0,3,0,2,1,2018,5,7,15,12,9,1,7,0,1,1,4,1,1,10,0,10,0,1,0,0,0,5,7,15,12,7,0,1,1,10,1,2,2,20,76.42125785
2.02E+11,1.00E+00,4,56,189,189,1,8,1,1,0,0,1,0,1,1,2018,6,10,40,35,2,2,0,0,1,1,0,4,1,1,0,1,0,0,0,0,0,6,10,40,35,0,0,1,1,1,2,1,2,20,178.4020869
