YEAR,CASENUM,VEH_NO,WEIGHT,A_BODY,A_IMP1,A_VROLL,A_SPVEH,A_MOD_YR
2018,201800411600,2,235.19710588,1,4,2,2,2009
2018,201800411608,1,28.249912,7,2,2,2,2011
2018,201800411611,1,67.781648582,2,2,2,2,2018
2018,201800411611,2,67.781648582,1,2,2,2,2017
2018,201800411614,1,36.670999241,3,2,2,2,2014
2018,201800411614,2,36.670999241,1,2,2,2,2007
2018,201800411624,1,168.60175046,3,2,2,2,2010
2018,201800411624,2,168.60175046,3,5,2,2,2017
2018,201800411641,1,168.60175046,1,3,2,2,2016
2018,201800411641,2,168.60175046,3,5,2,2,2011
2018,201800411643,1,235.19710588,3,2,2,2,2005
2018,201800411643,2,235.19710588,1,4,2,2,1995
2018,201800413790,1,32.11839314,7,1,2,2,2007
2018,201800413799,1,16.416304491,1,5,1,1,2015
2018,201800413811,1,35.645192618,1,2,2,2,2002
2018,201800413816,1,279.02470946,2,2,2,2,2008
2018,201800413870,1,287.4625676,1,2,2,2,2005
2018,201800413921,1,37.402434265,1,3,2,2,2015
2018,201800413932,1,287.4625676,2,2,2,2,1996
2018,201800413932,2,287.4625676,1,3,2,2,2003
2018,201800413937,1,195.21146277,1,5,2,2,2008
2018,201800413937,2,195.21146277,1,3,2,2,2008
2018,201800413959,1,415.07646545,2,2,2,2,1972
2018,201800413959,2,415.07646545,3,4,2,2,2017
2018,201800413960,1,360.04735403,1,2,2,2,2008
2018,201800413960,2,360.04735403,2,3,2,2,2014
2018,201800413964,1,377.86543086,6,1,2,1,2007
2018,201800413969,1,30.426502217,7,1,2,2,2004
2018,201800413975,1,26.668573841,2,2,1,2,2003
2018,201800413975,2,26.668573841,3,2,2,2,2017
2018,201800414151,1,178.40208699,1,2,2,1,2012
2018,201800414151,2,178.40208699,1,4,2,2,1997
2018,201800414247,1,270.08682725,2,2,2,2,1999
2018,201800414247,2,270.08682725,2,4,2,2,2006
2018,201800414289,1,177.61964128,1,2,2,1,2007
2018,201800414289,2,177.61964128,1,4,2,2,2014
2018,201800414302,1,32.509735858,1,2,2,1,1991
2018,201800414302,2,32.509735858,4,4,2,2,1996
2018,201800414309,1,198.27204118,1,2,2,2,2002
2018,201800414309,2,198.27204118,3,3,2,2,2017
2018,201800414333,1,151.26556505,1,3,2,2,2016
2018,201800414333,2,151.26556505,6,2,2,2,2015
2018,201800414333,3,151.26556505,1,2,2,2,2005
2018,201800414334,1,279.02470946,2,2,2,2,2002
2018,201800414364,1,211.51039651,1,2,2,2,2012
2018,201800414364,2,211.51039651,1,3,2,2,2017
2018,201800414395,1,195.21146277,1,2,2,2,2002
2018,201800414395,2,195.21146277,3,3,2,2,2000
2018,201800414465,1,211.51039651,1,2,2,1,2005
2018,201800414465,2,211.51039651,1,4,2,2,2018
2018,201800414599,1,586.07247662,1,2,2,2,2012
2018,201800414607,1,146.08973367,6,2,2,2,2015
2018,201800414609,1,177.61964128,1,3,2,2,1996
2018,201800414609,2,177.61964128,3,2,2,2,1996
2018,201800414615,1,270.0868272,2,2,2,2,1993
2018,201800414668,1,265.23227329,1,2,2,1,2018
2018,201800414668,2,265.23227329,3,2,2,2,2008
2018,201800414668,3,265.23227329,2,2,2,2,2008
2018,201800414777,1,265.23227317,3,2,1,2,1998
2018,201800414852,1,76.421257851,1,5,2,2,2017
2018,201800414852,2,76.421257851,1,3,2,2,2015
2018,201800414927,1,265.23227325,3,2,2,2,1999
2018,201800414927,2,265.23227325,4,4,2,2,2002
2018,201800414946,1,187.19330787,1,2,2,1,2015
2018,201800414946,2,187.19330787,1,4,2,2,2009
2018,201800414999,1,265.23227321,1,3,2,2,1995
2018,201800415018,1,30.490190366,2,2,2,2,2000
2018,201800415018,2,30.490190366,1,5,2,2,1985
2018,201800415020,1,178.40208686,2,1,1,1,1999
2018,201800415029,1,76.421257839,4,2,2,2,2014
2018,201800415035,1,146.08973373,6,5,2,2,1998
2018,201800415035,2,146.08973373,6,3,2,2,2009
2018,201800415754,1,239.71349847,7,2,2,2,2008
2018,201800416230,1,16.416304491,3,5,2,2,2000
2018,201800416230,2,16.416304491,1,2,2,2,2015
2018,201800416231,1,78.134540153,1,4,2,1,1993
2018,201800416231,2,78.134540153,3,3,2,2,2016
2018,201800416231,3,78.134540153,1,2,2,2,2016
2018,201800416241,1,78.134540153,1,2,2,2,2001
2018,201800416241,2,78.134540153,2,5,2,2,2014
2018,201800416300,1,190.69810162,2,3,2,2,2007
2018,201800416300,2,190.69810162,1,5,2,2,2017
2018,201800416362,1,187.1933078,2,2,2,1,2017
2018,201800416362,2,187.1933078,1,4,2,2,2016
2018,201800416451,1,74.967626606,1,2,2,1,1999
2018,201800416451,2,74.967626606,2,4,2,2,2017
2018,201800417022,1,170.91254122,1,2,2,2,2014
2018,201800417022,2,170.91254122,3,4,2,2,2001
2018,201800417619,1,154.69724188,2,2,2,2,2009
2018,201800417627,1,240.76970651,1,2,2,2,2003
2018,201800417627,2,240.76970651,1,4,2,2,2007
2018,201800417631,1,65.243430185,6,2,2,2,2006
2018,201800417631,2,65.243430185,1,4,2,2,2015
2018,201800417634,1,169.96213078,3,2,2,2,2018
2018,201800417634,2,169.96213078,4,4,2,2,2002
2018,201800417683,1,169.96213078,2,2,1,1,2015
2018,201800417687,1,240.76970651,2,2,2,1,2007
2018,201800417689,1,65.243430185,3,2,2,2,2017
2018,201800417689,2,65.243430185,6,4,2,2,2018
2018,201800417697,1,130.57251271,6,2,2,2,2016
2018,201800417697,2,130.57251271,1,5,2,2,2006
2018,201800417708,1,65.243430185,1,2,1,2,2013
2018,201800417709,1,154.69724188,1,4,2,2,2006
2018,201800417872,1,239.80618483,1,2,2,2,2012
2018,201800417884,1,161.74150747,4,2,2,2,2013
2018,201800417884,2,161.74150747,1,4,2,2,2009
2018,201800417919,1,67.857868842,1,2,2,2,2006
2018,201800417919,2,67.857868842,1,2,2,2,2016
2018,201800417947,1,170.91254134,1,2,2,2,2007
2018,201800417947,2,170.91254134,3,4,2,2,2017
2018,201800417955,1,31.231511911,3,2,2,2,2017
2018,201800418012,1,239.80618488,1,2,2,2,2010
2018,201800418012,2,239.80618488,3,4,2,2,2013
2018,201800418034,1,170.91254122,3,2,2,2,2014
2018,201800418034,2,170.91254122,2,4,2,2,2017
2018,201800418036,1,239.80618483,2,2,2,2,2007
2018,201800418047,1,28.552321378,1,2,2,2,2007
2018,201800418047,2,28.552321378,4,4,2,2,2005
2018,201800418047,3,28.552321378,2,4,2,2,2014
2018,201800418047,4,28.552321378,1,4,2,2,2007
2018,201800418093,1,170.91254122,1,2,2,2,2016
2018,201800418093,2,170.91254122,3,4,2,2,1999
2018,201800418337,1,170.64936248,1,4,2,2,2015
2018,201800418337,2,170.64936248,1,2,2,2,2006
2018,201800418387,1,13.627073829,1,2,2,2,2016
2018,201800418405,1,159.54854962,3,2,2,2,2016
2018,201800418405,2,159.54854962,1,4,2,2,2006
2018,201800418768,1,287.4625676,3,4,2,2,2004
2018,201800418768,2,287.4625676,3,2,2,1,2012
2018,201800418782,1,187.19330791,1,2,2,1,2013
2018,201800418782,2,187.19330791,1,4,2,2,2014
2018,201800418803,1,149.78733643,1,5,2,1,2011
2018,201800418803,2,149.78733643,6,3,2,1,2008
2018,201800418848,1,34.194551575,1,2,2,2,2014
2018,201800418896,1,30.490190366,1,3,2,2,2001
2018,201800418896,2,30.490190366,4,2,2,2,2012
2018,201800418899,1,15.057170469,1,5,2,2,2014
2018,201800418899,2,15.057170469,1,2,2,2,2015
2018,201800419131,1,170.64936248,1,2,2,2,2015
2018,201800419131,2,170.64936248,1,4,2,2,2013
2018,201800419135,1,239.71349847,1,4,2,2,2010
2018,201800419135,2,239.71349847,1,2,2,2,1998
2018,201800419226,1,134.17014196,3,2,2,2,2002
2018,201800419226,2,134.17014196,1,4,2,2,2007
2018,201800419226,3,134.17014196,8,4,2,2,1998
2018,201800419976,1,134.15491055,3,2,2,2,2004
2018,201800419976,2,134.15491055,6,4,2,2,2000
2018,201800419998,1,134.15491064,2,2,2,2,2014
2018,201800419998,2,134.15491064,6,5,2,2,2015
2018,201800421505,1,68.140224518,1,2,2,2,2008
2018,201800421505,2,68.140224518,3,4,2,2,2016
2018,201800421538,1,170.64936248,1,3,2,2,2013
2018,201800421538,2,170.64936248,2,4,2,2,2017
2018,201800421568,1,169.66340555,6,2,2,2,1999
2018,201800421587,1,83.848345626,1,2,2,1,2005
2018,201800421587,2,83.848345626,3,4,2,2,2016
2018,201800421614,1,83.848345626,2,2,2,2,2002
2018,201800421614,2,83.848345626,2,3,2,2,2016
2018,201800421638,1,415.07646545,2,2,2,1,1993
2018,201800421638,2,415.07646545,1,4,2,2,2017
2018,201800421647,1,190.69810158,1,2,2,1,2015
2018,201800421750,1,149.78733649,1,3,2,2,2007
2018,201800421750,2,149.78733649,8,2,2,2,2017
2018,201800421752,1,187.19330787,1,5,2,2,2014
2018,201800421752,2,187.19330787,1,3,2,2,2015
2018,201800421760,1,76.42125785,3,2,2,1,1999
2018,201800421760,2,76.42125785,1,4,2,2,2016
2018,201800421800,1,265.23227325,1,3,2,2,2004
2018,201800421800,2,265.23227325,1,4,2,2,2008
2018,201800421812,1,30.426502214,2,3,2,2,1998
2018,201800421812,2,30.426502214,7,2,2,2,2003
2018,201800421964,1,239.71349847,1,2,2,2,2012
2018,201800421964,2,239.71349847,1,4,2,2,2002
2018,201800422091,1,159.54854962,3,2,2,2,1996
2018,201800422091,2,159.54854962,1,2,2,2,2012
2018,201800422152,1,68.140224518,1,3,2,2,2017
2018,201800422152,2,68.140224518,1,2,2,2,2015
2018,201800422159,1,170.64936248,1,2,2,2,2000
2018,201800422159,2,170.64936248,1,4,2,2,2016
2018,201800422207,1,234.88323482,3,2,2,2,2012
2018,201800422213,1,167.06008573,1,4,2,2,2014
2018,201800422215,1,234.88323488,1,2,2,1,1989
2018,201800422218,1,167.06008573,1,5,2,2,2008
2018,201800422218,2,167.06008573,3,2,2,2,2016
2018,201800422221,1,234.88323488,3,4,2,2,2013
2018,201800422221,2,234.88323488,2,2,2,2,2004
2018,201800422223,1,167.06008573,2,4,2,2,2002
2018,201800422223,2,167.06008573,3,2,2,2,2016
